t,Beijin,Tianjin,Hebei,Shanxi1,Neimenggu,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guagnxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Xizang,Shanxi,Gansu,Qinghai,Ningxia,Xinjiang
1,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
2,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
3,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
4,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
5,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
6,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
7,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
8,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
9,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
10,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
11,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
12,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
13,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
14,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
15,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
16,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
17,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
18,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
19,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
20,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
21,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
22,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
23,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
24,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
25,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
26,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
27,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
28,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
29,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
30,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
31,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
32,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
33,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
34,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
35,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
36,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
37,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
38,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
39,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
40,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
41,65683,52963,32306,33544,35507,35057,29399,29603,71874,40505,41505,34341,32647,29092,33729,30303,32588,30483,40358,31842,31025,35326,33112,31458,30177,54397,34299,29588,37182,39144,32361
